Date : 2024-01-21 10:05:09
Directory : s:\Documents\GitHub\ProStartup-Learn\courses
Total : 542 files,  19947 codes, 462 comments, 652 blanks, all 21061 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| cs\web-development\front-end\html                                                                                            |        514 |     16,730 |        390 |        316 |     17,436 |
| cs\web-development\front-end\html (Files)                                                                                    |          1 |         79 |          4 |          0 |         83 |
| cs\web-development\front-end\html\general-info                                                                               |          3 |      1,902 |          8 |         21 |      1,931 |
| cs\web-development\front-end\html\html101                                                                                    |         30 |      2,532 |         53 |          1 |      2,586 |
| cs\web-development\front-end\html\html102                                                                                    |         19 |      1,068 |         38 |          2 |      1,108 |
| cs\web-development\front-end\html\html103                                                                                    |         27 |      1,234 |         44 |          0 |      1,278 |
| cs\web-development\front-end\html\info-multimedia                                                                            |          2 |         64 |          4 |          2 |         70 |
| cs\web-development\front-end\html\list                                                                                       |        432 |      9,851 |        239 |        290 |     10,380 |
| cs\web-development\front-end\html\list (Files)                                                                               |        430 |      9,851 |        239 |        288 |     10,378 |
| cs\web-development\front-end\html\list\html3_2                                                                               |          1 |          0 |          0 |          1 |          1 |
| cs\web-development\front-end\html\list\html4_0                                                                               |          1 |          0 |          0 |          1 |          1 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                     | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\alternatives.html                                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\list\story-formats.html                           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine-courses.html                                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\01-introduction.html                     | HTML     |         71 |          4 |          0 |         75 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\02-concepts.html                         | HTML     |         47 |          4 |          0 |         51 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\03-basics.html                           | HTML     |         91 |          4 |          0 |         95 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links-EXAMPLE.html                    | HTML     |         33 |          0 |          2 |         35 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links-EXAMPLE02.html                  | HTML     |         34 |          0 |          2 |         36 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\04-links.html                            | HTML     |        154 |          4 |          0 |        158 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE.html                  | HTML     |         80 |         28 |          1 |        109 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE02.html                | HTML     |         69 |          0 |          0 |         69 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats-EXAMPLE03.html                | HTML     |        653 |          0 |        317 |        970 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\05-formats.html                          | HTML     |         92 |          4 |          0 |         96 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js-EXAMPLE.html              | HTML     |         34 |          0 |          2 |         36 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js-EXAMPLE02.html            | HTML     |         36 |          0 |          2 |         38 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\06-html-css-js.html                      | HTML     |        134 |          4 |          0 |        138 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\07-testing.html                          | HTML     |        105 |          4 |          0 |        109 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\08-exporting.html                        | HTML     |         55 |          4 |          0 |         59 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\game-development\web\twine\twine101\09-next.html                             | HTML     |         35 |          4 |          0 |         39 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\general-info-web-dev\browser-render-mode-quirk.html                          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\introduction.html                                                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\coursesList.html                                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\audio.html                              | HTML     |        987 |          4 |          0 |        991 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\images.html                             | HTML     |        507 |          4 |          0 |        511 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\introduction.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\http\mime-types\video.html                              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\networking\protocols\introduction.html                                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\external-files-table.shtml       | HTML     |         37 |          0 |          1 |         38 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\list-country-codes.html          | HTML     |      1,054 |          4 |         20 |      1,078 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\general-info\list-lang-codes.html             | HTML     |        811 |          4 |          0 |        815 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\01-cs-introduction.html               | HTML     |        136 |          4 |          0 |        140 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\02-concepts.html                      | HTML     |        198 |          4 |          0 |        202 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\03-basics-example.html                | HTML     |         10 |          1 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\03-basics.html                        | HTML     |        218 |          4 |          0 |        222 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\04-text-formatting-example.html       | HTML     |         27 |          0 |          0 |         27 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\04-text-formatting.html               | HTML     |        100 |          4 |          0 |        104 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\05-block-inline-elements.html         | HTML     |         55 |          4 |          0 |         59 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\06-entities-example.html              | HTML     |         16 |          0 |          0 |         16 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\06-entities.html                      | HTML     |        213 |          4 |          0 |        217 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\07-directories.html                   | HTML     |        129 |          4 |          1 |        134 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example01.html               | HTML     |         13 |          0 |          0 |         13 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example02.html               | HTML     |         12 |          0 |          0 |         12 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example03.html               | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example04.html               | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links-example05.html               | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\08-links.html                         | HTML     |        149 |          4 |          0 |        153 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images-example01.html              | HTML     |         13 |          0 |          0 |         13 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images-example02.html              | HTML     |         16 |          0 |          0 |         16 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\09-images.html                        | HTML     |        193 |          4 |          0 |        197 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example01.html               | HTML     |         16 |          0 |          0 |         16 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example02.html               | HTML     |         36 |          0 |          0 |         36 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists-example03.html               | HTML     |         18 |          0 |          0 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\10-lists.html                         | HTML     |        193 |          4 |          0 |        197 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example01.html              | HTML     |         23 |          0 |          0 |         23 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example02.html              | HTML     |         31 |          0 |          0 |         31 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example03.html              | HTML     |         28 |          0 |          0 |         28 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables-example04.html              | HTML     |         32 |          0 |          0 |         32 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\11-tables.html                        | HTML     |        267 |          4 |          0 |        271 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\12-next.html                          | HTML     |         35 |          4 |          0 |         39 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html101\list-101elements.html                 | HTML     |        313 |          4 |          0 |        317 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\01-cs-introduction.html               | HTML     |         33 |          4 |          0 |         37 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\02-iframe-example01.html              | HTML     |         17 |          0 |          1 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\02-iframe-example02.html              | HTML     |         17 |          0 |          1 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\02-iframe.html                        | HTML     |        115 |          4 |          0 |        119 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\03-iframe-security.html               | HTML     |         47 |          4 |          0 |         51 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\04-audio-element-example01.html       | HTML     |         18 |          0 |          0 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\04-audio-element-example02.html       | HTML     |         17 |          0 |          0 |         17 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\04-audio-element.html                 | HTML     |        143 |          4 |          0 |        147 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\05-audio-external-example01.html      | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\05-audio-external-example02.html      | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\05-audio-external.html                | HTML     |        133 |          5 |          0 |        138 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\06-video-element-example01.html       | HTML     |         21 |          0 |          0 |         21 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\06-video-element-example02.html       | HTML     |         16 |          0 |          0 |         16 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\06-video-element.html                 | HTML     |        155 |          4 |          0 |        159 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\07-video-external-example01.html      | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\07-video-external-example02.html      | HTML     |         12 |          0 |          0 |         12 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\07-video-external.html                | HTML     |        148 |          5 |          0 |        153 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\08-next.html                          | HTML     |         36 |          4 |          0 |         40 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html102\list-102elements.html                 | HTML     |        107 |          4 |          0 |        111 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\01-cs-introduction.html               | HTML     |         35 |          4 |          0 |         39 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\02-form-basics.html                   | HTML     |         86 |          4 |          0 |         90 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\03-text-form-example01.html           | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\03-text-form-example02.html           | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\03-text-form-example03.html           | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\03-text-form-example04.html           | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\03-text-form.html                     | HTML     |        138 |          4 |          0 |        142 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\04-basic-input-atts-example01.html    | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\04-basic-input-atts-example02.html    | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\04-basic-input-atts-example03.html    | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\04-basic-input-atts-example04.html    | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\04-basic-input-atts.html              | HTML     |        105 |          4 |          0 |        109 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\05-fieldset-and-legend-example01.html | HTML     |         18 |          0 |          0 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\05-fieldset-and-legend-example02.html | HTML     |         19 |          0 |          0 |         19 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\05-fieldset-and-legend.html           | HTML     |         86 |          4 |          0 |         90 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\06-textarea-example01.html            | HTML     |         18 |          0 |          0 |         18 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\06-textarea.html                      | HTML     |         71 |          4 |          0 |         75 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\07-checkbox-example01.html            | HTML     |         22 |          0 |          0 |         22 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\07-checkbox-example02.html            | HTML     |         20 |          0 |          0 |         20 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\07-checkbox.html                      | HTML     |         91 |          4 |          0 |         95 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\08-radio-example01.html               | HTML     |         23 |          0 |          0 |         23 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\08-radio.html                         | HTML     |         69 |          4 |          0 |         73 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\09-select-form-example01.html         | HTML     |         19 |          0 |          0 |         19 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\09-select-form-example02.html         | HTML     |         24 |          0 |          0 |         24 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\09-select-form.html                   | HTML     |        107 |          4 |          0 |        111 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\10-next.html                          | HTML     |         34 |          4 |          0 |         38 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\html103\list-103element.html                  | HTML     |        133 |          4 |          0 |        137 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\htmlCourses.html                              | HTML     |         79 |          4 |          0 |         83 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\info-multimedia\type-general.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\info-multimedia\video-youtube.html            | HTML     |         64 |          4 |          1 |         69 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\elements-list-category.html            | HTML     |      1,092 |          4 |          0 |      1,096 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\elements-list.html                     | HTML     |        949 |          4 |          0 |        953 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\0-global-attribute-list.html             | HTML     |        194 |          4 |          0 |        198 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-1-dir-global.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-1-height-and-width-global.html       | HTML     |         33 |          4 |          0 |         37 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-1-id-global.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-1-lang-global.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-1-title-global.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-2-role-aria.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-a-download.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-a-href.html                          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-a-target.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-area-coords.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-area-shape.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-audio-autoplay.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-audio-controls.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-audio-controlslist.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-audio-muted.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-audio-src.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-button-autocomplete.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-button-autofocus.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-button-disabled.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-button-form.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-canvas-height-and-width.html         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-canvas-moz-opaque.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-data-value.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-del-cite.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-del-datetime.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-details-open.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-embed-height-and-width.html          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-embed-src.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-embed-type.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-fieldset-disabled.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-fieldset-form.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-accept-charset.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-action.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-autocapitalize.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-autocomplete.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-enctype.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-method.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-name.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-novalidate.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-rel.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-form-target.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-html-xmlns.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-allow.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-allowfullscreen.html          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-credentialless.html           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-csp.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-height-width.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-loading.html                  | HTML     |          0 |          0 |          1 |          1 |
